id;name;description;system_id;contact_name;contact_phone;contact_email;notes;customer_id
1;C1 Project 1;description;1001;contact_name;contact_phone;contact_email;notes;1
2;C1 Project 2;description;1002;contact_name;contact_phone;contact_email;notes;1
3;C2 Project 1;description;1003;contact_name;contact_phone;contact_email;notes;2
4;C2 Project 2;description;1004;contact_name;contact_phone;contact_email;notes;2
5;C3 Project 1;description;1005;contact_name;contact_phone;contact_email;notes;3
6;C3 Project 2;description;1006;contact_name;contact_phone;contact_email;notes;3
7;C4 Project 1;description;1007;contact_name;contact_phone;contact_email;notes;4
8;C4 Project 2;description;1008;contact_name;contact_phone;contact_email;notes;4
9;C5 Project 1;description;1009;contact_name;contact_phone;contact_email;notes;5
10;C5 Project 2;description;1010;contact_name;contact_phone;contact_email;notes;5
11;C6 Project 1;description;1011;contact_name;contact_phone;contact_email;notes;6
12;C6 Project 2;description;1012;contact_name;contact_phone;contact_email;notes;6
13;C7 Project 1;description;1013;contact_name;contact_phone;contact_email;notes;7
14;C7 Project 2;description;1014;contact_name;contact_phone;contact_email;notes;7
15;C8 Project 1;description;1015;contact_name;contact_phone;contact_email;notes;8
16;C8 Project 2;description;1016;contact_name;contact_phone;contact_email;notes;8
17;C9 Project 1;description;1017;contact_name;contact_phone;contact_email;notes;9
18;C9 Project 2;description;1018;contact_name;contact_phone;contact_email;notes;9
19;C10 Project 1;description;1019;contact_name;contact_phone;contact_email;notes;10
20;C10 Project 2;description;1020;contact_name;contact_phone;contact_email;notes;10
